S.No.,Department,Scheme Code,Scheme Name,Assistance,Eligibility,Scope,Funding,Contact Point
1,HORTICULTURE,HOR-MIDH,Mission for Integrated Development of Horticulture ,"1) Area expansion / new orchards for mango, guava, aonla, litchi, citrus, banana, papaya, strawberry, dragon fruit, etc. Assistance provided as per MIDH norms (capital cost support for planting material + cultivation costs for 2 years; capped per ha/beneficiary)  2) Rejuvenation / canopy management of old and senile orchards.  3) Vegetable / spice area expansion – hybrid vegetables, onion, garlic, chillies, turmeric, etc.  4) Area expansion under flowers, medicinal & aromatic plants  5) Protected cultivation – polyhouse, shade-net house, low tunnels, mulching, anti-hail/bird nets etc.  6) As per revised MIDH norms: ~50% subsidy of admissible cost for general states; area caps per beneficiary.  7) UP has additionally announced up to 50% subsidy for polyhouse/greenhouse construction leveraging MIDH and AIF.  8) Bee-keeping (apiculture) – supply of bee colonies, boxes, equipment under MIDH/National Bee Board. 9)  Post-harvest & marketing infrastructure – pack houses, pre-cooling units, cold rooms, reefer vans, onion storage, ripening chambers, minimal processing units, etc.  10) HRD & extension – farmer trainings, exposure visits, demonstrations.  11) Mechanization – small tractor, power tillers, etc.  12) Support for additional components such as fencing, support system (मचान), fruit bags, etc.","1) Individual farmers (priority: small & marginal, women, SC/ST, OBC) FPOs/FPCs, SHGs, cooperatives.  2) Farmer groups/Companies (for project-based components like cold storage, pack houses, etc.)  3) Applicant shall possess the title or registered lease of the horticulture land against which scheme benefit has been applied for Minimum and maximum area limits vary across components.   4) Up to 2 ha per beneficiary in case of area expansion / orchards.  5) Area varies across ~2,500–4,000 sq.m per beneficiary, depending on structure, in case of protected cultivation.  6) Cold storages up to a capacity of 5000 MT",CENTRAL,"50% GOI, 50% UPGOV",District Horticulture Officer (DHO)
2,HORTICULTURE,HOR-PDMC,“PER DROP MORE CROP” (PDMC – MICRO IRRIGATION),"1) Capital subsidy for installation of drip/sprinkler systems.   2) In UP, often linked with Khet Talab Yojana – farmers who maintain ponds with micro-irrigation get additional subsidy (~₹52,000).","1) Farmers with cultivable land, priority to SC/ST, women, marginal & small farmers.  2) For linked Khet Talab models in UP:  3)Pond must meet specified dimensions (22×20×3 m).  4)Farmer must already have or commit to install micro-irrigation (tripartite agreement with horticulture in some cases).",CENTRAL,"50% GOI, 50% UPGOV",District Agriculture Officer (DAO)
3,HORTICULTURE,HOR-PVY-UP,Phalpatti Vikas Yojana – Fruit Belt Development Scheme,"1) Financial aid for new fruit plantation and maintenance in notified fruit belt villages.  2) As per official guidelines, state assistance around 40% of total cost (up to ₹1,200/ha).  3) Support for training & exposure visits, plant protection measures, small equipment (sprayers, fruit bags, etc.) and pack-house/ grading units in some districts.",1) Farmers located in notified fruit belt villages/gram panchayats under the scheme.   2) Applicant should have own/leased agricultural land within the notified fruit belt area.  3) Scheme offers maximum benefit for usually up to 4 ha per farmer as per guidelines,STATE,100% UPGOV,District Horticulture Officer (DHO)
4,HORTICULTURE,HOR-HDS-UP,Horticulture Development Scheme (State Sector) for SC/ST Farmers,"Enhanced subsidy rates (compared to general category) ~75% - 90% for cultivation infrastructure for hybrid vegetable, spices, honey and flowers, IPM",1) Only SC/ST Farmers,STATE,100% UPGOV,District Horticulture Officer (DHO)
5,HORTICULTURE,HOR-PUPY-UP,Paan Utpadan Protsahan Yojana – Betelvine Promotion,"1) As per recent district-level communications, for a standard 1,500 sq.m betelvine baroja, subsidy up to ₹75,680 is being provided to eligible farmers (exact amount can vary year to year)                                          2) Support includes:
- structural materials for bareja,
- quality planting material,
- training on disease & moisture management
",1) Farmers in identified paan clusters or districts where betelvine is a traditional crop                         2) Scheme operates on a first come first serve basis,STATE,100% UPGOV,District Horticulture Officer (DHO)
6,FOOD PROCESSING,FP-PM-FME,Pradhan Mantri Formalisation of Micro Food Processing Enterprises ,"35% credit-linked capital subsidy (max ₹10 lakh per unit) for eligible enterprises.
Seed capital to SHG members, common facility centres, branding & marketing support.
Branding & marketing support – 
Support of INR 5 lakh for preparation of DPR
Maximum support of 50% of the proposed turnover of 3 years for the unit
","Applicant must be 18 years of age and at least passed the 8th standard
SHGs / FPOs / Cooperatives can also apply for establishment of new units / expansion of existing units / technical upgradations
Existing micro food-processing unit already in operation either identified in the State Level Upgradation Plan (SLUP) for ODOP, or by a Resource Person (RP) based on field verification.
Preferably supports units processing ODOP product of that district. Existing units with non-ODOP products can also be supported. New units are supported only for ODOP products.
Land cost is not eligible.
Cost of ready-built or leased/rented work shed may be included (lease rent max 3 years).
Eligible project cost = plant & machinery + technical civil works (with ceiling on civil component as per bank/MoFPI instructions).
Seed capital up to ₹40,000 per SHG member engaged in food processing, for working capital and small tools/equipment.
Credit-linked grant @35% of approved project cost (micro food-processing unit or common facility with maximum project cost of 10 lakhs / unit).
",CENTRAL,"50% GOI, 50% UPGOV",District PM-FME Cell
7,FOOD PROCESSING,FP-UPFPIP-UP,Uttar Pradesh Food Processing Industry Policy,"Capital Subsidy
For new food-processing units (FPIs): up to 35% subsidy of incurred expenditure on plant & machinery, technical civil work subject to a maximum of ₹5 crore.
For expansion/modernisation/up-gradation: 25% subsidy, subject to a maximum of ₹1 crore.
Promotion of decentralized processing and storage:
SHGs/FPOs/Framers will be eligible for assistance in this form of grant
Maximum limit of 50% of the total project cost or Rs. 50 lacs.
Land & Land-use Incentives
Permission to purchase agricultural land for FPIs beyond 12.5 acres.
Exemption from fees @2% of the value at circle rate on non-agricultural use declaration for FPIs.
100% exemption from stamp duty on land purchased for establishment of food processing industry
Exemption from fees for exchange of government-owned land coming under project site.
50% waiver in Conversion of Land Use (CLU) fees
Mandi‐Fee / Cess Exemptions
Exemption from mandi fees and cess for agricultural produce procured from other states for processing in UP as well as for agricultural produce directly sold to processing units by farmers in UP
Cold-Chain / Value Addition / Infrastructure Support
Subsidy of 35% for infrastructure related to cold chain & value addition. For frozen storage / deep freezers / value-addition/processing infrastructure, subsidy up to 50% subject to a maximum up to ₹10 crore
For Agro Processing Clusters: minimum 5 food processing units with minimum investment of ₹25 crore → grant of 35% of project cost subject to maximum ₹10 crore.
Interest subsidy on purchase of reefer vehicles / mobile pre-cooling vans, reimbursed for five years to a maximum limit ~₹50 lakh.
Solar Power/Green Energy Incentives
Subsidy for solar power projects for electricity supply to processing units in rural areas: 50% subsidy, for women entrepreneurs in same category subsidy is 90%
Other Incentives
Freight subsidy: 25% on exports (excluding Nepal, Bangladesh and Bhutan).
Support for modern technology adoption to food-processing start-ups in agriculture value-chain development up to ~₹5 crore.
Rebate of 75% on External Development Charges (EDC) for FPI.
","Food Processing Industry (FPI) is defined broadly: enterprises involved in transformation of raw agricultural/horticultural/animal products or further value addition of food items.
Eligible units include: new units, expansion/modernisation/upgrade of existing units; setting up of value-addition, cold-chain, storage facilities, pack-house, etc.
For the subsidy: The unit must be located in UP, registered, meet required standards (plant & machinery, technical civil works) and eligible cost norms.
There may be minimum investment/expenditure thresholds for certain components (e.g., clusters – min investment ₹25 crore) as cited above.
The policy does not restrict only to large units; smaller units in FPI sector are eligible for subsidy proportionally, subject to cost incurred and caps (e.g., ₹5 crore cap for subsidy for new units).
Units must comply with regulatory requirements (land use conversion, environmental clearance, building permits, fire safety, labour regulations, food safety standards).
Beneficiaries must submit applications through the state nodal portal (Invest UP / DOHFP) and abide by the conditions for subsidy disbursement (often after verification, project completion).
",STATE,100% UPGOV,District Industries Centre (DIC)
8,FISHERIES,FISH-PMMSY,Pradhan Mantri Matsya Sampada Yojana,"Production & Productivity Enhancement
New pond/tank construction, pond renovation, inputs (seed, feed, fertiliser).
Reclamation of derelict/underutilised ponds, village tanks, reservoirs.
Intensive/innovative systems: Biofloc units, RAS, cages in reservoirs, pen culture.
Seed and Brood Infrastructure
Hatcheries, seed rearing units, brood banks, nursery ponds.
Post-Harvest & Marketing
Ice plants, cold storages, refrigerated vehicles, insulated boxes, mobile fish vending units, live fish transport vehicles, small-scale processing units, value-addition units.
Fisheries Management & Governance
Reservoir stocking, river ranching, fish sanctuaries, co-management initiatives.
e-governance, MIS, extension, training, Matsya Setu app, etc.","Eligible beneficiaries:
Individual fishers, fish farmers, fish workers, fish vendors
Fisheries Development Corporations, including UP Matsya Vikas Nigam / Matsya Palak Vikas Abhikaran
Self-Help Groups (SHGs), Joint Liability Groups (JLGs) in fisheries
Fisheries co-operative societies, federations, producer companies
Entrepreneurs, private firms, start-ups in fisheries
Fish Farmers Producer Organisations / Companies (FFPO/FFPCs)
Special focus: SC/ST, women, aspirational districts, water-stressed areas
Basic eligibility criteria:
Engaged / willing to engage in fisheries or aquaculture.
Ownership/lease rights over proposed water body or land (revenue/Gaon Sabha lease, department lease, private land, reservoir cage allotment, etc.).
Clean land and revenue records; NOC from land owner/Gram Panchayat where required.
Bank account, Aadhaar, and ability to mobilise beneficiary contribution (if unit is beneficiary-oriented).
For group projects – registration of SHG/co-operative/FPO and resolution authorising project.
",CENTRAL,100% GOI,Assistant Director (Fisheries)
9,FISHERIES,FISH-FIDF,Fisheries and Aquaculture Infrastructure Development Fund,Interest subvention: up to 3% per annum for eligible entities on term loans under FIDF.,"Eligible entities include individual beneficiaries, state governments, state fisheries corporations, co-operatives, FPOs, private companies, NGOs, women entrepreneurs, etc. 
Projects must be infrastructure in nature (not working capital) and economically and technically viable.
Illustrative projects for which FIDF is relevant:
Modern fish markets, wholesale/retail fish hubs
Large cold storage, cold chain and logistics
Reservoir/river landing centres, jetties, harbour improvements (where applicable)
Brood banks / multi-species hatcheries serving multiple districts
",CENTRAL,100% GOI,Assistant Director (Fisheries)
10,FISHERIES,FISH-KCC,Kisan Credit Card (KCC) to Fishers & Fish Farmers,"Lending rate to farmers is ~7% including 1.5% GoI interest subvention; 
additional 3% for prompt repayment → effective 4% interest up to ₹2 lakh
","All existing and new fishers and fish farmers, individual or joint, including SHGs, co-operatives, FPOs, etc., with a valid bank account and proof of fisheries/aquaculture activity. ",CENTRAL,100% GOI,Assistant Director (Fisheries)
